Date,Open,High,Low,Close,Adj Close,Volume
1960-03-22,55.290001,55.980000,55.290001,55.860001,55.860001,13590000
1960-03-29,55.779999,55.779999,55.340000,55.540001,55.540001,12170000
1960-04-05,55.369999,56.520000,55.369999,56.169998,56.169998,14700000
1960-04-12,56.299999,56.590000,56.299999,56.590000,56.590000,11130000
1960-04-19,56.130001,56.130001,54.860001,54.860001,54.860001,14760000
1960-04-26,55.040001,55.040001,54.130001,54.130001,54.130001,14930000
1960-05-03,54.830002,55.040001,54.750000,54.799999,54.799999,13680000
1960-05-10,54.419998,55.299999,54.419998,55.250000,55.250000,16270000
1960-05-17,55.459999,55.759998,55.439999,55.759998,55.759998,18720000
1960-05-24,55.700001,55.740002,55.669998,55.740002,55.740002,13440000
1960-05-31,55.830002,56.889999,55.830002,56.889999,56.889999,17810000
1960-06-07,57.430000,58.000000,57.430000,57.990002,57.990002,17450000
1960-06-14,57.910000,57.910000,57.160000,57.160000,57.160000,18490000
1960-06-21,57.110001,57.680000,57.110001,57.330002,57.330002,17260000
1960-06-28,56.939999,57.060001,56.919998,57.060001,57.060001,11840000
1960-07-05,57.020000,57.380001,56.869999,56.869999,56.869999,14730000
1960-07-12,56.250000,56.250000,55.700001,55.700001,55.700001,12420000
1960-07-19,55.700001,55.700001,54.180000,54.180000,54.180000,13060000
1960-07-26,54.509998,55.529999,54.169998,55.529999,55.529999,13470000
1960-08-02,55.040001,55.520000,54.720001,55.520000,55.520000,13360000
1960-08-09,55.840000,56.660000,55.840000,56.610001,56.610001,14190000
1960-08-16,56.720001,57.189999,56.720001,57.189999,57.189999,14020000
1960-08-23,57.750000,58.070000,57.439999,57.439999,57.439999,15300000
1960-08-30,56.840000,57.090000,56.840000,57.000000,57.000000,12160000
1960-09-06,56.490002,56.490002,55.720001,55.720001,55.720001,13010000
1960-09-13,55.830002,55.830002,53.860001,53.860001,53.860001,13710000
1960-09-20,54.009998,54.570000,53.060001,53.060001,53.060001,15070000
1960-09-27,52.939999,53.520000,52.480000,53.360001,53.360001,15130000
1960-10-04,52.990002,54.139999,52.990002,54.139999,54.139999,11990000
1960-10-11,54.220001,54.860001,54.150002,54.630001,54.630001,11210000
1960-10-18,54.349998,54.349998,52.700001,52.700001,52.700001,15050000
1960-10-25,52.200001,53.619999,52.200001,53.389999,53.389999,13900000
1960-11-01,53.939999,55.110001,53.939999,55.110001,55.110001,14550000
1960-11-08,55.349998,56.430000,55.349998,55.590000,55.590000,12870000
1960-11-15,55.810001,55.930000,55.549999,55.930000,55.930000,14400000
1960-11-22,55.720001,56.130001,55.720001,56.029999,56.029999,13480000
1960-11-29,55.830002,55.830002,55.299999,55.310001,55.310001,16230000
1960-12-06,55.470001,56.849998,55.470001,56.849998,56.849998,18040000
1960-12-13,56.880001,57.200001,56.680000,57.130001,57.130001,18440000
1960-12-20,57.090000,57.549999,57.090000,57.439999,57.439999,14800000
1960-12-27,57.520000,58.110001,57.520000,58.110001,58.110001,16530000
1961-01-03,57.570000,58.810001,57.570000,58.810001,58.810001,18570000
1961-01-10,58.970001,59.599998,58.970001,59.580002,59.580002,22510000
1961-01-17,59.639999,60.290001,59.639999,60.290001,60.290001,20680000
1961-01-24,60.450001,61.970001,60.450001,61.970001,61.970001,22560000
1961-01-31,61.779999,62.299999,61.759998,61.759998,61.759998,23070000
1961-02-07,61.650002,62.209999,61.139999,61.139999,61.139999,22950000
1961-02-14,61.410000,62.320000,61.410000,62.320000,62.320000,24080000
1961-02-21,62.360001,63.299999,62.360001,63.299999,63.299999,21490000
1961-02-28,63.439999,64.050003,63.430000,64.050003,64.050003,27280000
